S.No,State,District,Area (Ha),production (Tonnes),productivity (Tonnes/Ha)
1,Tamilnadu,Ariyalur,2093,72519,44.64
2,Tamilnadu,Coimbatore,6147,72189,12.52
3,Tamilnadu,Cuddalore,6952,181237,27.25
4,Tamilnadu,Dharmapuri,19744,533575,27.04
5,Tamilnadu,Dindigul,13838,330191,27.30
6,Tamilnadu,Erode,10464,274969,27.53
7,Tamilnadu,Kancheepuram,920,10377,13.01
8,Tamilnadu,Kanyakumari,1500,45543,30.55
9,Tamilnadu,Karur,4202,120132,37.16
10,Tamilnadu,Krishnagiri,10176,265252,27.17
11,Tamilnadu,Madurai,2406,46179,25.50
12,Tamilnadu,Nagapattinam,524,8096,18.33
13,Tamilnadu,Namakkal,21269,469816,22.23
14,Tamilnadu,Perambalur,10822,111559,10.74
15,Tamilnadu,Pudukkottai,725,12147,17.18
16,Tamilnadu,Ramanadhapuram,256,3190,14.91
17,Tamilnadu,Salem,16946,283803,17.07
18,Tamilnadu,Sivagangai,376,5577,16.46
19,Tamilnadu,Thanjavur,785,17389,23.23
20,Tamilnadu,Theni,9171,274218,37.11
21,Tamilnadu,The Nilgiris,5556,158356,35.48
22,Tamilnadu,Tiruvallur,2076,23908,13.83
23,Tamilnadu,Tiruvannamalai,3984,78683,20.51
24,Tamilnadu,Thiruvarur,463,7450,12.07
25,Tamilnadu,Thoothukudi,5529,83432,22.59
26,Tamilnadu,Tirupur,5951,130193,25.43
27,Tamilnadu,Trichy,8914,246825,27.79
28,Tamilnadu,Thirunelvei,4541,73532,17.53
29,Tamilnadu,Vellore,5093,54586,12.54
30,Tamilnadu,Villupuram,15122,250237,16.57
31,Tamilnadu,Virudhunagar,2445,21480,9.56
Total,Tamilnadu,State Total,198990,4266642,21.44
